source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
AA,0,gpd,TOBACCO consumption user (YES),4005823,SNOMED,1970-01-01,2099-12-31,
AA,0,gpd,"TOBACCO consumption user (NO) - Ex-tobacco user  ‘EXFUMADOR’",45765917,SNOMED,1970-01-02,2099-12-31,
AA,0,gpd,"TOBACCO consumption user (NO) - 
Tobacco non-user  NO",764150,SNOMED,1970-01-03,2099-12-31,
AC,0,gpd,Anti sMOKING tobacco counselling  or advice ,46272634,SNOMED,1970-01-01,2099-12-31,
ACTEXTRA,0,gpd,Out of school ACTIVITY,44803360,SNOMED,1970-01-01,2099-12-31,
AD,0,gpd,ALCOHOL (NO),4022664,SNOMED,1970-01-02,2099-12-31,
AD,0,gpd,ALCOHOL (YES),4074035,SNOMED,1970-01-03,2099-12-31,
AF,0,gpd,counselling advice ANTIALCOHOL,4211325,SNOMED,1970-01-01,2099-12-31,
AG,0,gpd,systolic blood pressure (MM HG),4152194,SNOMED,1970-01-01,2099-12-31,
AH,0,gpd,diastolic blood pressure (MM HG),4154790,SNOMED,1970-01-01,2099-12-31,
AI,0,gpd,WEIGHT (KG),4099154,SNOMED,1970-01-01,2099-12-31,
AJ,0,gpd,height (CM),4177340,SNOMED,1970-01-01,2099-12-31,
AK,0,gpd,Body-mass index BMI,4245997,SNOMED,1970-01-01,2099-12-31,
AKPED,0,gpd,BMI child body mass index,4245997,SNOMED,1970-01-01,2099-12-31,
AL,0,gpd,2093-3 Total ChOLESTEROL (MG/DL) Cholesterol [Mass/volume] in Serum or Plasma,3027114,LOINC,1970-01-01,2099-12-31,
ALIMVAR,0,gpd,Balanced diet  - VARIED diet S,4022722,SNOMED,1970-01-01,2099-12-31,
ALIMVAR,0,gpd,Unbalanced diet – VARIED diet N,4314950,SNOMED,1970-01-01,2099-12-31,
ALL,0,gpd,2345-7 Glucose [Mass/volume] in Serum or Plasma,3004501,LOINC,1970-01-01,2099-12-31,
ALT_CO,0,gpd,behavioral disorders alteration or change YES,44803662,SNOMED,1970-01-01,2099-12-31,
AM,0,gpd,dietary advice,4041982,SNOMED,1970-01-01,2099-12-31,
AN,0,gpd,exercise advice or counselling,4124904,SNOMED,1970-01-01,2099-12-31,
APERIME,0,gpd,pediatric head circumference(CM),4181669,SNOMED,1970-01-01,2099-12-31,
APESOPED,0,gpd,WEIGHT (KG),4099154,SNOMED,1970-01-01,2099-12-31,
APNSU,0,gpd,Apnea OF SLEEP – S,313459,SNOMED,2002-01-31,2099-12-31,
ATALLAPE,0,gpd,height (CM),4177340,SNOMED,1970-01-01,2099-12-31,
BAFDIABE,0,gpd,family history DIABETES,1616473,SNOMED,1970-01-01,2099-12-31,
BAFDIABE,0,gpd,No family history diabetes ,4051106,SNOMED,1970-01-01,2099-12-31,
BAFFUMAM,0,gpd,"Family history SMOKING MOTHER, mother smokes  YES",4052772,SNOMED,1970-01-01,2099-12-31,
BAFFUMAM,0,gpd,"family history SMOKING FATHER, father smokes Y",4059774,SNOMED,1970-01-01,2099-12-31,
BAFOBE,0,gpd,Family history OBESITY – YES,4051566,SNOMED,1970-01-01,2099-12-31,
BEDADMEN,0,gpd,AGE OF MENOPAUSE,36676381,SNOMED,1970-01-01,2099-12-31,
BSECON,0,gpd,Economic situation,4032379,SNOMED,1970-01-01,2099-12-31,
CAMBTTO,0,gpd,"change of pharmacological treatment, change of medication – S",4080985,SNOMED,1970-01-01,2099-12-31,
CEDADABA,0,gpd,AGE ABANDONMENT breastfeeding (MONTH) How old was sample person when he or she completely stopped breastfeeding or being fed breast milk,40764194,LOINC,1970-01-01,2099-12-31,
CEDADGUA,0,gpd,childcare/COLLEGE AGE (YEAR) age at which  started kindergarten or school,4076225,SNOMED,1970-01-01,2099-12-31,
CEDMEN,0,gpd,MENARCHE AGE (YEARS),4162552,SNOMED,1970-01-01,2099-12-31,
CESCGOLD,0,gpd,GOLD scale  Global Iniciative for Chronic Obstructive Lung Disease,36685450,SNOMED,1970-01-01,2099-12-31,
CESCLMRC,0,gpd,dyspnea scale mMRC,36685566,SNOMED,1970-01-01,2099-12-31,
CEXPLDEN,0,gpd,Caries (Y),4277113,SNOMED,1970-01-01,2099-12-31,
CFADAP,0,gpd,adapted formula milk (Y/N) infant bottle feed infant formula,4237230,SNOMED,1970-01-01,2099-12-31,
CFORMULA,0,gpd,age at which started with adapted formula milk  (Month) bottle feed age infant formula,37020979,LOINC,1970-01-01,2099-12-31,
CGUARDE,0,gpd,GUARDERIA (YES/NO) preschool attendance at nursery school or kindergarten YES,4147173,SNOMED,1970-01-01,2099-12-31,
CHABINT,0,gpd,normal bowel habit (YES),4208260,SNOMED,1970-01-01,2099-12-31,
CHABINT,0,gpd,normal bowel habit (NO),4338120,SNOMED,1970-01-01,2099-12-31,
