source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
AFGANISTAN,0,Countries,AFGHANISTAN,4320153,SNOMED,1970-01-01,2099-12-31,
ALBANIA,0,Countries,ALBANIA,4320165,SNOMED,1970-01-01,2099-12-31,
ALEMANIA,0,Countries,GERMANY,4330424,SNOMED,1970-01-01,2099-12-31,
ANGOLA,0,Countries,ANGOLA,4075205,SNOMED,1970-01-01,2099-12-31,
ANGUILLA,0,Countries,ANGUILLA,4072008,SNOMED,1970-01-01,2099-12-31,
ANTARTIDA,0,Countries,ANTARTIDA,4072104,SNOMED,1970-01-01,2099-12-31,
ANTIGUA Y BARBUDA,0,Countries,ANTIGUA Y BARBUDA,4071850,SNOMED,1970-01-01,2099-12-31,
ANTILLAS HOLANDESAS,0,Countries,ANTILLAS HOLANDESAS,4075671,SNOMED,1970-01-01,2099-12-31,
ARABIA SAUDITA,0,Countries,SAUDI ARABIA,4330417,SNOMED,1970-01-01,2099-12-31,
ARGELIA,0,Countries,ALGERIA,4072105,SNOMED,1970-01-01,2099-12-31,
ARGENTINA,0,Countries,ARGENTINA,4073750,SNOMED,1970-01-01,2099-12-31,
ARMENIA,0,Countries,ARMENIA,4330428,SNOMED,1970-01-01,2099-12-31,
ARUBA,0,Countries,ARUBA,4073033,SNOMED,1970-01-01,2099-12-31,
AUSTRALIA,0,Countries,AUSTRALIA,4329592,SNOMED,1970-01-01,2099-12-31,
AUSTRIA,0,Countries,AUSTRIA,4329596,SNOMED,1970-01-01,2099-12-31,
AZERBAIYAN,0,Countries,AZERBAIJAN,4320316,SNOMED,1970-01-01,2099-12-31,
BAHREIN,0,Countries,BAHRAIN,4329587,SNOMED,1970-01-01,2099-12-31,
BANGLA DESH,0,Countries,BANGLADESH,4329584,SNOMED,1970-01-01,2099-12-31,
BARBADOS,0,Countries,BARBADOS,4072760,SNOMED,1970-01-01,2099-12-31,
BELGICA,0,Countries,BELGIUM,4330433,SNOMED,1970-01-01,2099-12-31,
BELICE,0,Countries,BELICE,4330443,SNOMED,1970-01-01,2099-12-31,
BENIN,0,Countries,BENIN,4071845,SNOMED,1970-01-01,2099-12-31,
BERMUDAS,0,Countries,BERMUDA,4329858,SNOMED,1970-01-01,2099-12-31,
BIELORRUSIA,0,Countries,Belorussia,4320317,SNOMED,1970-01-01,2099-12-31,
BOLIVIA,0,Countries,BOLIVIA,4073751,SNOMED,1970-01-01,2099-12-31,
BOSNIA-HERZEGOVINA,0,Countries,BOSNIA HERZEGOVINA,4330434,SNOMED,1970-01-01,2099-12-31,
BOTSWANA,0,Countries,BOTSWANA,4072753,SNOMED,1970-01-01,2099-12-31,
BRASIL,0,Countries,BRAZIL,4075645,SNOMED,1970-01-01,2099-12-31,
BRUNEI,0,Countries,BRUNEI,4329579,SNOMED,1970-01-01,2099-12-31,
BULGARIA,0,Countries,BULGARIA,4330429,SNOMED,1970-01-01,2099-12-31,
BURKINA FASO,0,Countries,BURKINA FASO,4075209,SNOMED,1970-01-01,2099-12-31,
BURUNDI,0,Countries,BURUNDI,4072107,SNOMED,1970-01-01,2099-12-31,
BUTHAN,0,Countries,BUTHAN,4330327,SNOMED,1970-01-01,2099-12-31,
CABO VERDE,0,Countries,Cape Verde islands,4075210,SNOMED,1970-01-01,2099-12-31,
CAMERUN,0,Countries,CAMEROON,4075199,SNOMED,1970-01-01,2099-12-31,
CANADA,0,Countries,CANADA,4075635,SNOMED,1970-01-01,2099-12-31,
CHECOSLOVAQUIA (ANTIGUA),0,Countries,REPUBLICA CHECA,4320163,SNOMED,1970-01-01,2099-12-31,
CHILE,0,Countries,CHILE,4073752,SNOMED,1970-01-01,2099-12-31,
CHINA,0,Countries,CHINA,4329982,SNOMED,1970-01-01,2099-12-31,
CHIPRE,0,Countries,CYPRUS,4329599,SNOMED,1970-01-01,2099-12-31,
CIUDAD VATICANO,0,Countries,VATICAN CITY,4320296,SNOMED,1970-01-01,2099-12-31,
COLOMBIA,0,Countries,COLOMBIA,4073753,SNOMED,1970-01-01,2099-12-31,
COMMONWEALTH DE BAHAMAS,0,Countries,COMMONWEALTH OF THE BAHAMAS,4072759,SNOMED,1970-01-01,2099-12-31,
CONGO,0,Countries,CONGO,4072108,SNOMED,1970-01-01,2099-12-31,
COSTA DE MARFIL,0,Countries,IVORY COAST,4073746,SNOMED,1970-01-01,2099-12-31,
COSTA RICA,0,Countries,COSTA RICA,4330444,SNOMED,1970-01-01,2099-12-31,
CROACIA,0,Countries,CROATIA,4329601,SNOMED,1970-01-01,2099-12-31,
CUBA,0,Countries,CUBA,4075639,SNOMED,1970-01-01,2099-12-31,
DEP.GUIANA (GUYANA FRAN),0,Countries,DEP.GUIANA (GUYANA FRAN),4071997,SNOMED,1970-01-01,2099-12-31,
DINAMARCA,0,Countries,DENMARK,4330435,SNOMED,1970-01-01,2099-12-31,
DJIBUTI,0,Countries,DJIBUTI,4073739,SNOMED,1970-01-01,2099-12-31,
DOMINICA,0,Countries,Commonwealth of Dominica,4075640,SNOMED,1970-01-01,2099-12-31,
ECUADOR,0,Countries,ECUADOR,4071854,SNOMED,1970-01-01,2099-12-31,
EGIPTO,0,Countries,EGYPT,4073737,SNOMED,1970-01-01,2099-12-31,
EL SALVADOR,0,Countries,EL SALVADOR,4075637,SNOMED,1970-01-01,2099-12-31,
EMIRATOS ARABES UNIDOS,0,Countries,UNITED ARAB EMIRATES,4330418,SNOMED,1970-01-01,2099-12-31,
ERITREA,0,Countries,ERITREA,40481806,SNOMED,1970-01-01,2099-12-31,
ESLOVAQUIA,0,Countries,SLOVAKIA,4329598,SNOMED,1970-01-01,2099-12-31,
ESLOVENIA,0,Countries,SLOVENIA,4320295,SNOMED,1970-01-01,2099-12-31,
ESPAÑA,0,Countries,SPAIN,4328760,SNOMED,1970-01-01,2099-12-31,
EST.FEDERADOS MICRONESIA,0,Countries,FEDERATED STATES OF MICRONESIA,40479631,SNOMED,1970-01-01,2099-12-31,
ESTADOS UNIDOS DE AMERICA,0,Countries,UNITED STATES OF AMERICA,4330442,SNOMED,1970-01-01,2099-12-31,
ESTONIA,0,Countries,ESTONIA,4320166,SNOMED,1970-01-01,2099-12-31,
ETIOPIA,0,Countries,ETHIOPIA,4071835,SNOMED,1970-01-01,2099-12-31,
FEDERACION RUSA,0,Countries,Federacion RUSA EUROPA,4320167,SNOMED,1970-01-01,2099-12-31,
FILIPINAS,0,Countries,PHILIPPINES,4320305,SNOMED,1970-01-01,2099-12-31,
FINLANDIA,0,Countries,FINLAND,4320323,SNOMED,1970-01-01,2099-12-31,
FRANCIA,0,Countries,FRANCE,4320324,SNOMED,1970-01-01,2099-12-31,
GABON,0,Countries,GABON,4072109,SNOMED,1970-01-01,2099-12-31,
GAMBIA,0,Countries,The Gambia,4329867,SNOMED,1970-01-01,2099-12-31,
GEORGIA,0,Countries,GEORGIA,4329171,SNOMED,1970-01-01,2099-12-31,
GEORGIA DEL SUR -  ISLAS SANDWICH,0,Countries,GEORGIA DEL SUR -  ISLAS SANDWICH,4075801,SNOMED,1970-01-01,2099-12-31,
GHANA,0,Countries,GHANA,4073745,SNOMED,1970-01-01,2099-12-31,
GIBRALTAR,0,Countries,GIBRALTAR,40480022,SNOMED,1970-01-01,2099-12-31,
GRAN DUCADO DE LUXEMBURGO,0,Countries,GRAND DUCHY OF LUXEMBOURG,4329602,SNOMED,1970-01-01,2099-12-31,
GRANADA,0,Countries,GRENADE,4075642,SNOMED,1970-01-01,2099-12-31,
GRECIA,0,Countries,GREECE,4330430,SNOMED,1970-01-01,2099-12-31,
GUADALUPE,0,Countries,GUADELOUPE,4071715,SNOMED,1970-01-01,2099-12-31,
GUAM,0,Countries,GUAM,4073025,SNOMED,1970-01-01,2099-12-31,
GUATEMALA,0,Countries,GUATEMALA,4072757,SNOMED,1970-01-01,2099-12-31,
GUINEA,0,Countries,GUINEA,4072754,SNOMED,1970-01-01,2099-12-31,
GUINEA BISSAU,0,Countries,GUINEA-BISSAU,4075212,SNOMED,1970-01-01,2099-12-31,
GUINEA ECUATORIAL,0,Countries,EQUATORIAL GUINEA,4071846,SNOMED,1970-01-01,2099-12-31,
GUYANA,0,Countries,GUYANA,4075646,SNOMED,1970-01-01,2099-12-31,
HAITI,0,Countries,HAITI,4072761,SNOMED,1970-01-01,2099-12-31,
HONDURAS,0,Countries,HONDURAS,4075638,SNOMED,1970-01-01,2099-12-31,
HONG KONG,0,Countries,HONG KONG,4072011,SNOMED,1970-01-01,2099-12-31,
HUNGRIA,0,Countries,HUNGARY,4320164,SNOMED,1970-01-01,2099-12-31,
INDIA,0,Countries,INDIA,4320154,SNOMED,1970-01-01,2099-12-31,
INDONESIA,0,Countries,INDONESIA,4329582,SNOMED,1970-01-01,2099-12-31,
IRAN,0,Countries,IRAN,4329588,SNOMED,1970-01-01,2099-12-31,
IRLANDA,0,Countries,IRLANDA,4330438,SNOMED,1970-01-01,2099-12-31,
IS FALKLAND(MALVINAS),0,Countries,IS FALKLAND(MALVINAS),4075800,SNOMED,1970-01-01,2099-12-31,
ISLA MAURICIO,0,Countries,MAURICE ISLAND,4072751,SNOMED,1970-01-01,2099-12-31,
ISLAS CHRISTMAS,0,Countries,ISLAS CHRISTMAS,4329592,SNOMED,1970-01-01,2099-12-31,
ISLAS FIDJI,0,Countries,FIDJI ISLANDS,4320159,SNOMED,1970-01-01,2099-12-31,
ISLAS SALOMON,0,Countries,ISLAS SALOMON,4329594,SNOMED,1970-01-01,2099-12-31,
ISLAS VIRGENES (BRITANIC),0,Countries,VIRGIN ISLANDS (BRITISH),4071714,SNOMED,1970-01-01,2099-12-31,
ISLAS VIRGENES (E.U.),0,Countries,VIRGIN ISLANDS (BRITISH),4072461,SNOMED,1970-01-01,2099-12-31,
ISLAS WALLIS Y FUTUNA,0,Countries,ISLAS WALLIS Y FUTUNA,4075069,SNOMED,1970-01-01,2099-12-31,
ISRAEL,0,Countries,ISRAEL,4320157,SNOMED,1970-01-01,2099-12-31,
ITALIA,0,Countries,ITALY,4328757,SNOMED,1970-01-01,2099-12-31,
JAMAICA,0,Countries,JAMAICA,4072762,SNOMED,1970-01-01,2099-12-31,
JAPON,0,Countries,JAPAN,4329983,SNOMED,1970-01-01,2099-12-31,
JORDANIA,0,Countries,JORDAN,4320158,SNOMED,1970-01-01,2099-12-31,
KAZAKHSTAN,0,Countries,KAZAKHSTAN,4329574,SNOMED,1970-01-01,2099-12-31,
KENIA,0,Countries,KENYA,4075204,SNOMED,1970-01-01,2099-12-31,
KIRIBATI,0,Countries,KIRIBATI,4320160,SNOMED,1970-01-01,2099-12-31,
KUWAIT,0,Countries,KUWAIT,4329589,SNOMED,1970-01-01,2099-12-31,
KYRGYZSTAN,0,Countries,KYRGYZSTAN,4320303,SNOMED,1970-01-01,2099-12-31,
LAOS,0,Countries,LAOS,4329583,SNOMED,1970-01-01,2099-12-31,
LATVIA-LETONIA,0,Countries,LATVIA,4320319,SNOMED,1970-01-01,2099-12-31,
LESHOTO,0,Countries,LESHOTO,4075207,SNOMED,1970-01-01,2099-12-31,
LIBANO,0,Countries,LEBANON,4329590,SNOMED,1970-01-01,2099-12-31,
LIBERIA,0,Countries,LIBERIA,4073747,SNOMED,1970-01-01,2099-12-31,
LIBIA,0,Countries,LIBYA,4072106,SNOMED,1970-01-01,2099-12-31,
LIECHTENSTEIN,0,Countries,LIECHTENSTEIN,4330425,SNOMED,1970-01-01,2099-12-31,
LITUANIA,0,Countries,LITHUANIA,4329600,SNOMED,1970-01-01,2099-12-31,
MALASIA,0,Countries,MALAYSIA,4330325,SNOMED,1970-01-01,2099-12-31,
MALAWI,0,Countries,MALAWI,4072113,SNOMED,1970-01-01,2099-12-31,
MALDIVAS,0,Countries,MALDIVES,4329585,SNOMED,1970-01-01,2099-12-31,
MALI,0,Countries,MALI,4072755,SNOMED,1970-01-01,2099-12-31,
MALTA,0,Countries,MALT,4330437,SNOMED,1970-01-01,2099-12-31,
MARRUECOS,0,Countries,MOROCCO,4071834,SNOMED,1970-01-01,2099-12-31,
MARTINICA,0,Countries,MARTINIQUE,4073035,SNOMED,1970-01-01,2099-12-31,
MAYOTTE,0,Countries,MAYOTTE,37396222,SNOMED,1970-01-01,2099-12-31,
MAURITANIA,0,Countries,MAURITANIA,4072756,SNOMED,1970-01-01,2099-12-31,
MEXICO,0,Countries,MEXICO,4075636,SNOMED,1970-01-01,2099-12-31,
MOLDAVIA,0,Countries,MOLDAVIA,4320320,SNOMED,1970-01-01,2099-12-31,
MONGOLIA,0,Countries,MONGOLIA,4329981,SNOMED,1970-01-01,2099-12-31,
MONTENEGRO,0,Countries,MONTENEGRO,40483631,SNOMED,1970-01-01,2099-12-31,
