source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
70406,0,SERAM,"70406 ELBOW, AP AND LAT",4090211,SNOMED,1970-01-01,2099-12-31,
70408,0,SERAM,"70408 WRIST, AP AND LAT",4039566,SNOMED,1970-01-01,2099-12-31,
70891,0,SERAM,70891 CT BRAIN WITHOUT CONTRAST,4244986,SNOMED,1970-01-01,2099-12-31,
70423,0,SERAM,70423 FEMUR AP AND LAT,4003642,SNOMED,1970-01-01,2099-12-31,
70424,0,SERAM,"70424 KNEE, AP AND LAT",4148144,SNOMED,1970-01-01,2099-12-31,
70203,0,SERAM,70203 PARANASAL SINUSES,4309380,SNOMED,1970-01-01,2099-12-31,
70208,0,SERAM,70208 CERVICAL SPINE AP AND LAT.,4070901,SNOMED,1970-01-01,2099-12-31,
71345,0,SERAM,71345 ULTRASOUND OF THE WHOLE ABDOMEN (INCLUDING RENAL),44792490,SNOMED,1970-01-01,2099-12-31,
70304,0,SERAM,"70304 LUMBOSACRAL SPINE, AP and LAT.",4263302,SNOMED,1970-01-01,2099-12-31,
70991,0,SERAM,70991 CHEST CT SCAN WITHOUT CONTRAST,36713200,SNOMED,1970-01-01,2099-12-31,
71350,0,SERAM,71350 PELVIC ULTRASOUND,4086677,SNOMED,1970-01-01,2099-12-31,
70992,0,SERAM,70992 CHEST C.T. SCAN WITH CONTRAST,4327032,SNOMED,1970-01-01,2099-12-31,
71191,0,SERAM,71191 CERVICAL SPINE MRI WITHOUT CONTRAST,36713280,SNOMED,1970-01-01,2099-12-31,
71353,0,SERAM,71353 SOFT-TISSUE ULTRASONOGRAPHY,4205771,SNOMED,1970-01-01,2099-12-31,
71354,0,SERAM,71354 TRANSVAGINAL ULTRASOUND,4027510,SNOMED,1970-01-01,2099-12-31,
70996,0,SERAM,70996 C.T. ABDOMEN WITH CONTRAST,4139745,SNOMED,1970-01-01,2099-12-31,
71197,0,SERAM,71197 MRI LUMBAR SPINE WITHOUT CONTRAST,36713196,SNOMED,1970-01-01,2099-12-31,
71004,0,SERAM,71004 ABDOMINO-PELVIC CT SCAN WITH CONTRAST,4335400,SNOMED,1970-01-01,2099-12-31,
71006,0,SERAM,71006 CHEST/ABDOMEN/PELVIS CT SCAN WITH CONTRAST,4200610,SNOMED,1970-01-01,2099-12-31,
71007,0,SERAM,71007 CT SCAN OF NECK-THORAX-ABDOMEN-PELVIS WITH CONTRAST,4200780,SNOMED,1970-01-01,2099-12-31,
71141,0,SERAM,71141 NON-CONTRAST BRAIN MRI,36713262,SNOMED,1970-01-01,2099-12-31,
71236,0,SERAM,71236 SHOULDER MR,4082711,SNOMED,1970-01-01,2099-12-31,
