source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
4BH-1,0,vacunas,Diphtheria tetanus pertussis vaccine J07AF J07AM J07AJ,40213291,CVX,1970-01-01,2099-12-31,
4BH-2,0,vacunas,Diphtheria tetanus pertussis vaccine J07AF J07AM J07AJ,40213291,CVX,1970-01-01,2099-12-31,
4BH-3,0,vacunas,Diphtheria tetanus pertussis vaccine J07AF J07AM J07AJ,40213291,CVX,1970-01-01,2099-12-31,
4BH-4,0,vacunas,Diphtheria tetanus pertussis vaccine J07AF J07AM J07AJ,40213291,CVX,1970-01-01,2099-12-31,
4BH-5,0,vacunas,Diphtheria tetanus pertussis vaccine J07AF J07AM J07AJ,40213281,CVX,1970-01-01,2099-12-31,
4BH-6,0,vacunas,Diphtheria tetanus pertussis vaccine J07AF J07AM J07AJ,40213281,CVX,1970-01-01,2099-12-31,
4BH-7,0,vacunas,Diphtheria tetanus pertussis vaccine J07AF J07AM J07AJ,40213281,CVX,1970-01-01,2099-12-31,
BCG-1,0,vacunas,40213271 J07AN  Tuberculosis Bacillus Calmette-Guerin BCG vaccine,40213271,CVX,1970-01-01,2099-12-31,
COL-1,0,vacunas,Cholera vaccine J07AE,40213275,CVX,1970-01-01,2099-12-31,
COV-1,0,vacunas,Covid vaccine J07BX03 ,35894915,RxNorm Extension,1970-01-01,2099-12-31,
COV-2,0,vacunas,Covid vaccine J07BX03 ,35894915,RxNorm Extension,1970-01-01,2099-12-31,
COV-RC,0,vacunas,Covid vaccine J07BX03 ,35894915,RxNorm Extension,1970-01-01,2099-12-31,
DT-5,0,vacunas,529411 529303 J07AF J07AM Tetanus diphtheria vaccine,44107524,RxNorm Extension,1970-01-01,2099-12-31,
DT-AC,0,vacunas,529411 529303 J07AF J07AM Tetanus diphtheria vaccine,44107524,RxNorm Extension,1970-01-01,2099-12-31,
DTP,0,vacunas,Diphtheria tetanus pertussis vaccine J07AF J07AM J07AJ,40213281,CVX,1970-01-01,2099-12-31,
DTP-,0,vacunas,Diphtheria tetanus pertussis vaccine J07AF J07AM J07AJ,40213281,CVX,1970-01-01,2099-12-31,
DTP-A6,0,vacunas,Diphtheria tetanus pertussis vaccine J07AF J07AM J07AJ,40213281,CVX,1970-01-01,2099-12-31,
DTP-AC,0,vacunas,Diphtheria tetanus pertussis vaccine J07AF J07AM J07AJ,40213281,CVX,1970-01-01,2099-12-31,
dTpa-F,0,vacunas,Diphtheria tetanus pertussis vaccine J07AF J07AM J07AJ,40213281,CVX,1970-01-01,2099-12-31,
EEV-1,0,vacunas,ENCEPHALITIS VACCINE European J07BA01,40213235,CVX,1970-01-01,2099-12-31,
EJV-1,0,vacunas,Japanese Encephalitis Vaccine J07BA02,40213162,CVX,1970-01-01,2099-12-31,
FIAM-1,0,vacunas,Yellow fever vaccine J07BL,40213257,CVX,1970-01-01,2099-12-31,
GRI-1,0,vacunas,Influenza vaccine J07BB ,40213158,CVX,1970-01-01,2099-12-31,
GRI-2,0,vacunas,Influenza vaccine J07BB ,40213158,CVX,1970-01-01,2099-12-31,
GRI-3,0,vacunas,Influenza vaccine J07BB ,40213158,CVX,1970-01-01,2099-12-31,
GRI-4,0,vacunas,Influenza vaccine J07BB ,40213158,CVX,1970-01-01,2099-12-31,
HAB,0,vacunas,Hepatitis A and B vaccine J07BC01 J07BC02,40213303,CVX,1970-01-01,2099-12-31,
HB-0M,0,vacunas,Hepatitis B vaccine J07BC01 ,40213308,CVX,1970-01-01,2099-12-31,
HB-1M,0,vacunas,hepatitis B vaccine J07BC01 ,40213308,CVX,1970-01-01,2099-12-31,
HB-6M,0,vacunas,hepatitis B vaccine J07BC01 ,40213308,CVX,1970-01-01,2099-12-31,
HB-A,0,vacunas,hepatitis B vaccine J07BC01 ,40213308,CVX,1970-01-01,2099-12-31,
HB-A1,0,vacunas,hepatitis B vaccine J07BC01 ,40213308,CVX,1970-01-01,2099-12-31,
HB-A2,0,vacunas,hepatitis B vaccine J07BC01 ,40213308,CVX,1970-01-01,2099-12-31,
HB-A3,0,vacunas,hepatitis B vaccine J07BC01 ,40213308,CVX,1970-01-01,2099-12-31,
HB-N1,0,vacunas,hepatitis B vaccine J07BC01 ,40213308,CVX,1970-01-01,2099-12-31,
HB-N2,0,vacunas,hepatitis B vaccine J07BC01 ,40213308,CVX,1970-01-01,2099-12-31,
HB-N3,0,vacunas,hepatitis B vaccine J07BC01 ,40213308,CVX,1970-01-01,2099-12-31,
HB-PAC,0,vacunas,hepatitis B vaccine J07BC01 ,40213308,CVX,1970-01-01,2099-12-31,
HB-RN,0,vacunas,hepatitis B vaccine J07BC01 ,40213308,CVX,1970-01-01,2099-12-31,
HBR-1,0,vacunas,hepatitis B vaccine J07BC01 ,40213306,CVX,1970-01-01,2099-12-31,
HBR-2,0,vacunas,hepatitis B vaccine J07BC01 ,40213306,CVX,1970-01-01,2099-12-31,
HBR-3,0,vacunas,hepatitis B vaccine J07BC01 ,40213306,CVX,1970-01-01,2099-12-31,
HBR-RC,0,vacunas,hepatitis B vaccine J07BC01 ,40213306,CVX,1970-01-01,2099-12-31,
HEPA-1,0,vacunas,Hepatitis A vaccine J07BC02,40213302,CVX,1970-01-01,2099-12-31,
HEXA-1,0,vacunas,"Dtap HIB HB IPV J07AF J07AM J07AJ J07AG J07BC01 J07BF03 Diphtheria and Tetanus Toxoids and Acellular Pertussis Adsorbed, Inactivated Poliovirus, Haemophilus b Conjugate (Meningococcal Protein Conjugate), and Hepatitis B (Recombinant) Vaccine. 40213284",40213284,CVX,1970-01-01,2099-12-31,
HEXA-2,0,vacunas,"Dtap HIB HB IPV  J07AF J07AM J07AJ J07AG J07BC01 J07BF03 Diphtheria and Tetanus Toxoids and Acellular Pertussis Adsorbed, Inactivated Poliovirus, Haemophilus b Conjugate (Meningococcal Protein Conjugate), and Hepatitis B (Recombinant) Vaccine.e 40213284",40213284,CVX,1970-01-01,2099-12-31,
HEXA-3,0,vacunas,"Dtap HIB HB IPV J07AF J07AM J07AJ J07AG J07BC01 J07BF03 Diphtheria and Tetanus Toxoids and Acellular Pertussis Adsorbed, Inactivated Poliovirus, Haemophilus b Conjugate (Meningococcal Protein Conjugate), and Hepatitis B (Recombinant) Vaccine. 40213284",40213284,CVX,1970-01-01,2099-12-31,
HEXA-4,0,vacunas,"Dtap HIB HB IPV  J07AF J07AM J07AJ J07AG J07BC01 J07BF03 Diphtheria and Tetanus Toxoids and Acellular Pertussis Adsorbed, Inactivated Poliovirus, Haemophilus b Conjugate (Meningococcal Protein Conjugate), and Hepatitis B (Recombinant) Vaccine.e 40213284",40213284,CVX,1970-01-01,2099-12-31,
HEXA-A,0,vacunas,"Dtap HIB HB IPV J07AF J07AM J07AJ J07AG J07BC01 J07BF03 Diphtheria and Tetanus Toxoids and Acellular Pertussis Adsorbed, Inactivated Poliovirus, Haemophilus b Conjugate (Meningococcal Protein Conjugate), and Hepatitis B (Recombinant) Vaccine.e 40213284",40213284,CVX,1970-01-01,2099-12-31,
HIB-1,0,vacunas,J07AG HEMOPHILUS INFLUENZA B Vaccine,40213316,CVX,1970-01-01,2099-12-31,
HIB-2,0,vacunas,J07AG HEMOPHILUS INFLUENZA B Vaccine,40213316,CVX,1970-01-01,2099-12-31,
HIB-3,0,vacunas,J07AG HEMOPHILUS INFLUENZA B Vaccine,40213316,CVX,1970-01-01,2099-12-31,
HIB-AC,0,vacunas,J07AG HEMOPHILUS INFLUENZA B Vaccine,40213316,CVX,1970-01-01,2099-12-31,
MAC-1,0,vacunas,MENINGOCOCOCUS C vaccine MENINGOCOCUS A and C vaccine J07AH02 J07AH03,706108,CVX,1970-01-01,2099-12-31,
MACWY,0,vacunas,46275260 J07AH08  MENINGOCOCOCUS A+C+W+Y  Vaccine ,46275260,RxNorm,1970-01-01,2099-12-31,
MENB,0,vacunas,J07AH06  MENINGOCOCOCOCO B Vaccine ,45775636,RxNorm,1970-01-01,2099-12-31,
MENC-1,0,vacunas,J07AH02 Meningococcal C Vaccine ,40213176,CVX,1970-01-01,2099-12-31,
MENC-2,0,vacunas,J07AH02 Meningococcal C Vaccine,40213176,CVX,1970-01-01,2099-12-31,
MENC-3,0,vacunas,J07AH02 Meningococcal C Vaccine,40213176,CVX,1970-01-01,2099-12-31,
MENC-4,0,vacunas,J07AH02 Meningococcal C Vaccine,40213176,CVX,1970-01-01,2099-12-31,
MENC-5,0,vacunas,J07AH02 Meningococcal C Vaccine,40213176,CVX,1970-01-01,2099-12-31,
MENC-6,0,vacunas,J07AH02 Meningococcal C Vaccine,40213176,CVX,1970-01-01,2099-12-31,
MENC-7,0,vacunas,J07AH02 Meningococcal C Vaccine,40213176,CVX,1970-01-01,2099-12-31,
MENC-8,0,vacunas,J07AH02 Meningococcal C Vaccine,40213176,CVX,1970-01-01,2099-12-31,
MENC-9,0,vacunas,J07AH02 Meningococcal C Vaccine,40213176,CVX,1970-01-01,2099-12-31,
MENC-A,0,vacunas,J07AH02 Meningococcal C Vaccine,40213176,CVX,1970-01-01,2099-12-31,
